No.,Project ,Part Number,Part Description
1,BAY,3200000278,CABLE CONNECTOR CT1
2,BAY,3200000279,CABLE CONNECTOR CT2
3,BAY,3200000280,CABLE CONNECTOR CT3
4,BAY,3200000281,CABLE CONNECTOR CT4
5,BAY,371000003,Rubber key(Long)
6,BAY,4371000004,Rubber key(Short)
7,BAY,4380000027,Lock Cassette H-CDU
8,BAY,5409000019,Printer Unit CD 4.5
9,BAY,5621000036,Main Power Supply
10,BAY,5645000001,Card Reader (Sankyo)
11,BAY,56610000029,"MONITOR LCD15"""
12,BAY,56610000030,Font Panel
13,BAY,7020000046,Printer Unit CD 4.7
14,BAY,7090000453,PC Unit CD 4.5-6 Core i3 Set
15,BAY,7090000453-L,PC Lenovo Unit CD 4.5-6 Core i3 Set
16,BAY,7090000687,IPC_H61:I3:2GB:HDD1 4.7
17,BAY,7100000050,Front MONITOR for TTW
18,BAY,7110000009,Rear Monitor
19,BAY,7120000073,Barcode 1d
20,BAY,7120000074,Barcode 2d
21,BAY,7130020600,EPP-8000R
22,BAY,7310000386,Separate SF1-2
23,BAY,7310000707,Main Body HCDU Front
24,BAY,7310000708,Main Body non Carridge
25,BAY,7310000709,Main Body HCDU +Board Back
26,BAY,7310000709-F,Main Body HCDU +Board Front
27,BAY,7430000255,Separate SF3-4
28,BAY,7430000286,ASSY:GEAR_Z40W8M10_1D
29,BAY,7430000301,Throat  Assy F/L
30,BAY,7460000002,Board PNC (PCB)
31,BAY,7650000007,Action Key long (Right)
32,BAY,7650000008,Action Key long (Left)
33,BAY,7650000010,Action Key Short (Right)
34,BAY,7650000011,Action Key Short (Left)
35,BAY,7760000064,PCBA:MAINBOARD
36,BAY,7760000162,FM Ctrl. Board
37,BAY,S4901000067,E-Lock Laguard
38,BAY,S4901000068,Keypad Kaba(Safe)
39,BAY,S4901000069,Keypad lagard(Safe)
40,BAY,S4901000070,Keypad SecuRam(Safe)
41,BAY,S4901000071,Long key
42,BAY,S4901000083,E-Lock SecuRAM
43,BAY,S5611000347,Camera1 Face
44,BAY,S5611000348,CAMERA shutter
45,BAY,S5645000043,CARD READER 4.7
46,BAY,S7100000284,15' LCD (OPL_LOBBY)
47,BAY,S7430000302,THROAT_R
48,GRG GHB,012345678-H,เสา
49,GRG GHB,123456789-H,ฐาน
50,GRG GHB,201011003-H,STAMP MACHINE (SM-002)
51,GRG GHB,202010012-H,ANTI LEBANESE HOOK DEVICE
52,GRG GHB,202010014-H,Card Reader (Sankyo ICT3Q8-3A0179)
53,GRG GHB,202010017-H,Card Reader (Sankyo ICT3Q8-3A0179)
54,GRG GHB,202011056-H,Card Reader (Sankyo ICT3Q8-3A0179)
55,GRG GHB,202030001001-H,Proximity sensor
56,GRG GHB,202030008-H,2D barcode reader(N5683SR/HONEYWELL)
57,GRG GHB,202030012001-H,Fingerprint reader (FPR-622/V501A)
58,GRG GHB,202030277-H,2D BARCODE SCANNER NLS-FM30
59,GRG GHB,203010188006-H,Deliver card module for D1-GRG
60,GRG GHB,203020184-H,Doc Scanner&Drop Box HSM-003
61,GRG GHB,206010007016-H,EPP003 Keypad
62,GRG GHB,206010182018-H,EPP-004 Keyboard - English and Thai
63,GRG GHB,206010182020-H,EPP004 Keypad
64,GRG GHB,206010182-H,EPP-004 KEYPAD (CHINESE/ENGLISH VERSION)
65,GRG GHB,207040005-H,USB Thermal Receipt Printer/TRP-005
66,GRG GHB,207040007005-H,TRP-003R
67,GRG GHB,207040198-H,TRP-006A SHORT THERMAL RECEIPT PRINTER
68,GRG GHB,208010006-H,Power Supply(AD321M36-4M1320W)
69,GRG GHB,208010022-H,Power Supply(Detla/DPS-60PBAA00)
70,GRG GHB,208010040-H,AC box/YT-AC BOX-001
71,GRG GHB,208010056-H,Power Box(AD901M36-4M1A)
72,GRG GHB,208010063-H,Power Supply GPAD431M36-1E
73,GRG GHB,208010065-H,Power Supply(GPAD311M36-4B)
74,GRG GHB,208010182-H,Power Supply(GPAD132M36-4A)
75,GRG GHB,208010187-H,POWER SUPPLY (FSP300-70PFL)
76,GRG GHB,208030001-H,C/R External Capacitor C/REP-001
77,GRG GHB,210010005-H,Audio Amplifier AAP-002
78,GRG GHB,210010183-H,Speakers M18
79,GRG GHB,211010193-H,USB camera Logitech C920
80,GRG GHB,211010195-H,USB WDR camera DV-U3303WCP205
81,GRG GHB,211030190-H,HUMAN APPROACH SENSOR TAD-9128
82,GRG GHB,213050182-H,Coil Winding Controller (Phone Cable)
83,GRG GHB,214010016019-H,IPC-GRGB (Computer) CPU:E5300 RAM2G HDD250G
84,GRG GHB,214010190018-H,IPC-013(i3-3220 4GM 1THD)
85,GRG GHB,214010190-H,IPC-013
86,GRG GHB,214010191001-H,IPC-014
87,GRG GHB,214010191002-H,IPC-014(I5-3550 4GM 1T HD/IEI)
88,GRG GHB,214010191020-H,IPC-014(I3-3220 3.3G 8GM)
89,GRG GHB,214010191022-H,IPC-014(I5-3550 4GM 1T HD/IEI)
90,GRG GHB,214010191-H,IPC-014（i3 3.3G 4GM 500*2GHD）
91,GRG GHB,214010194-H,IPC-014
92,GRG GHB,214020005014-H,Harddisk (Seagate/ST3250312AS/500G)
93,GRG GHB,214020209-H,hard disk/ST500DM009/seagate
94,GRG GHB,214020210-H,Seagate ST1000DM010
95,GRG GHB,214030022-H,RAM(4GBDDR31333Kingstone)
96,GRG GHB,214030182-H,Kingston 4GB DDR3 1600MHz
97,GRG GHB,214040067-H,IPC MAIN BOARD(GDYT-IMB-H61 2B)
98,GRG GHB,214040185002-H,KINO-CV-D25501(MB+500G HDD+4GM+cable)
99,GRG GHB,214040185-H,IEI embedded PC board KINO-CV-D25501
100,GRG GHB,214040198-H,IPC Mainboard
101,GRG GHB,214040209-H,PC(GRG-S7015-02(4GM/128GSSD/VGA))
102,GRG GHB,214040210-H,GRG-S7018(4GM/128 G/mSATA/with cable)
103,GRG GHB,214050012-H,CPU(Core i5 3550 3.3G Intel)
104,GRG GHB,214050013-H,CPU(Core i3 3220 3.3ntel)
105,GRG GHB,214090182-H,Graphic Card
106,GRG GHB,214100011-H,DVDROM(iHAS124)
107,GRG GHB,214110364-H,IPC-014(I5-3550 4GM 1T HD/IEI)
108,GRG GHB,214110365-H,IPC-013 (i3/ 4GM/ no HDD)
109,GRG GHB,215020006-H,21.5  LCD(Bigtide/HL2102)
110,GRG GHB,215020194-H,LCD Module/HL1558-NO1
111,GRG GHB,215030189-H,21.5 anti-peep touch screen
112,GRG GHB,215030194-H,10.4 inch touch LCD HL1002
113,GRG GHB,215030199001-H,15-inch touch disply/ X-AU15T2525LE02
114,GRG GHB,215030237-H,TOUCH SCREEN#OTL193-RPC03(F)-UCD-1194
115,GRG GHB,215030300-H,TOUCH SCREEN MODELL:MON-1501
116,GRG GHB,215030315-H,21.5 inch Touch Screen HL2111B
117,GRG GHB,215040005-H,15 Touch Screen(TSC-004TL6B15D2WS)
118,GRG GHB,215050185-H,LCD HL1513N(AUO LED)
119,GRG GHB,216010006001-H,LAGARD LOCK 3390 and 1777
120,GRG GHB,216020185-H,KABA KEY LOCK 71111
121,GRG GHB,301010116-H,CRM9250 Upper Board
122,GRG GHB,301010117-H,CRM9250 Main Board
123,GRG GHB,301010131001-H,USB TRP Control Board
124,GRG GHB,301010133-H,Recycle Cassette Control Board
125,GRG GHB,301010144001-H,TRP-005 control board_package material
126,GRG GHB,301010145-H,ODS control board
127,GRG GHB,301010146-H,CRM9250 AC control board
128,GRG GHB,301010176-H,THICKNESS SENSOR BOARD
129,GRG GHB,301010232001-H,Paper Low Level Sensor 401
130,GRG GHB,301010337001-H,IO EXPANDING BOARD (12 PORTS)
131,GRG GHB,301010339-H,NV power board
132,GRG GHB,301010348001-H,VTM Voice Amplifier Board
133,GRG GHB,301010396-H,UI control board
134,GRG GHB,301010425-H,Sankyo Card Reader Control Board
135,GRG GHB,301010830003-H,IO SIGNAL CONTROL BOARD
136,GRG GHB,401010888-H,RC-XS1 connector (male)
137,GRG GHB,401010890-H,AC connector (female)
138,GRG GHB,401010892-H,RC1 connector (female)
139,GRG GHB,401010894-H,RC2 connector (female)
140,GRG GHB,401010896-H,RC3 connector (female)
141,GRG GHB,401010898-H,RC4 connector (female)
142,GRG GHB,401010900-H,AC-XS1 connector (male)
143,GRG GHB,401014790-H,H22NL core USB signal cable
144,GRG GHB,402020009-H,NF cable assembly
145,GRG GHB,402020022-H,Motor cable
146,GRG GHB,402020038-H,MF08(motor with Cable)
147,GRG GHB,501010005-H,USB HUB(MOXA407)
148,GRG GHB,501010506-H,CM400 NV ASSY
149,GRG GHB,501010945-H,Sound Pick-up(MIC-001)
150,GRG GHB,502010210-H,Link transportation（front service）
151,GRG GHB,502010211-H,Note Feeder Slot
152,GRG GHB,502010214007-H,CRM9250N  Recycling  Cassettes
153,GRG GHB,502010214009-H,Recycling cassette (English spare part)
154,GRG GHB,502010214-H,CRM9250N Recycling Cassettes(EN)
155,GRG GHB,502010215003-H,CRM9250 AC Cassette(English)
156,GRG GHB,502010216-H,Slot Shutter (CRM9250-ss-001)
157,GRG GHB,502010217-H,Note feeder Lower
158,GRG GHB,502010218001-H,Note Escrow
159,GRG GHB,502010218002-H,Note Escrow
160,GRG GHB,502010221-H,Note Feeder Transport
161,GRG GHB,502010223001-H,CT MODULE (CRM9250/RS/ENGLISH) (Front service)
162,GRG GHB,502010223002-H,CRM9250 front access cassette channel assy
163,GRG GHB,502010233-H,NE tri-section module
164,GRG GHB,502010240-H,Link transportation(front service)
165,GRG GHB,502010242-H,Note-Reject Channel(CRM9250 NF)
166,GRG GHB,502010243-H,LT pusher plate (left)
167,GRG GHB,502010244-H,LT pusher plate (right)
168,GRG GHB,502010284-H,Note Feeder Upper Module(CRM9250)
169,GRG GHB,502010292002-H,Note Validator Module(2nd generation)
170,GRG GHB,502010745-H,MF06 (shutter motor with Cable)
